"Part","Value","Device","Package","Description","AVAILABILITY","DESCRIPTION","MF","MP","MPN","OC_FARNELL","OC_NEWARK","PACKAGE","PRICE","SPICEPREFIX","TP_SIGNAL_NAME",
"R50","1K","R-US_R0805","R0805","RESISTOR, American symbol","","","","","","","","","","R","",
"R51","470","R-US_R0805","R0805","RESISTOR, American symbol","","","","","","","","","","R","",
"R52","100K","R-US_R0603","R0603","RESISTOR, American symbol","","","","","","","","","","R","",
"R53","330","R-US_R0603","R0603","RESISTOR, American symbol","","","","","","","","","","R","",
"R54","47K","R-US_R0603","R0603","RESISTOR, American symbol","","","","","","","","","","R","",
"R55","100","R-US_R1210","R1210","RESISTOR, American symbol","","","","","","","","","","R","",
"R56","VC0805K121R025","VARISTORCN0805","CT/CN0805","VARISTOR","","","","","","","","","","","",
"R57","150","R-US_R0805","R0805","RESISTOR, American symbol","","","","","","","","","","R","",
"R62","100K","R-US_R0603","R0603","RESISTOR, American symbol","","","","","","","","","","R","",
"R63","330","R-US_R0603","R0603","RESISTOR, American symbol","","","","","","","","","","R","",
"R64","47K","R-US_R0603","R0603","RESISTOR, American symbol","","","","","","","","","","R","",
"R65","100","R-US_R1210","R1210","RESISTOR, American symbol","","","","","","","","","","R","",
"R66","VC0805K121R025","VARISTORCN0805","CT/CN0805","VARISTOR","","","","","","","","","","","",
"R70","100K","R-US_R0805","R0805","RESISTOR, American symbol","","","","","","","","","","R","",
"R71","100K","R-US_R0805","R0805","RESISTOR, American symbol","","","","","","","","","","R","",
"R72","100K","R-US_R0603","R0603","RESISTOR, American symbol","","","","","","","","","","R","",
"R73","330","R-US_R0603","R0603","RESISTOR, American symbol","","","","","","","","","","R","",
"R74","47K","R-US_R0603","R0603","RESISTOR, American symbol","","","","","","","","","","R","",
